"","participant","nLL","kernel","acq","R2","kError","lambda","beta","tau","alpha","d","k","omega","ModelName","meanScore"
"1",1,313.450135239394,"BMT","UCB",0.665027440240112,8.47130437247938,NA,0.00803287829422771,0.00733852633150716,NA,NA,NA,0.00680267681948939,"BMT-UCB",81.5310230508071
"2",1,257.748977204535,"DF","UCB",0.724553206513196,NA,NA,0.183316088406939,0.0567202281206181,1.43773988006199,NA,NA,0.1792995071026,"DF-UCB",81.5310230508071
"3",1,328.007589802292,"Sticky","GM",0.649470427272809,NA,NA,NA,1.90597144249145,NA,NA,NA,10.1997031392599,"Sticky-GM",81.5310230508071
"4",1,233.276015092414,"dNN","GM",0.750706555457656,NA,NA,NA,0.069686137306933,NA,1,NA,0.188547827907809,"dNN-GM",81.5310230508071
"5",1,233.96094448741,"kNN","GM",0.749974596760234,NA,NA,NA,0.0679897428408881,NA,NA,2,0.186728081381724,"kNN-GM",81.5310230508071
"6",2,282.290527170485,"DF","UCB",0.698326560267563,NA,NA,0.186348749659256,0.0614186123796337,2.2883985967442,NA,NA,0.150490057609229,"DF-UCB",84.7213449673864
"7",2,285.249111794561,"kNN","GM",0.695164830367412,NA,NA,NA,0.067214446852417,NA,NA,2,0.151839729226123,"kNN-GM",84.7213449673864
"8",2,417.706302757623,"Sticky","GM",0.553612732195195,NA,NA,NA,0.147955686053123,NA,NA,NA,0.744025587531635,"Sticky-GM",84.7213449673864
"9",2,285.472285829548,"BMT","UCB",0.694926332535166,6.944373739493,NA,0.17170890428992,0.00733477435604733,NA,NA,NA,0.00681661236775025,"BMT-UCB",84.7213449673864
"10",2,284.353153400737,"dNN","GM",0.696122307946384,NA,NA,NA,0.0689118613522545,NA,1,NA,0.153567148539563,"dNN-GM",84.7213449673864
"11",3,712.999290052442,"DF","UCB",0.23804404450666,NA,NA,0.00673857811960503,0.244045767287196,1.34461626345593,NA,NA,0.851893170283384,"DF-UCB",58.7656505403272
"12",3,717.774511139209,"BMT","UCB",0.232940942446639,3.58752316264272,NA,0.00676107011120437,0.129222989325064,NA,NA,NA,0.424454658560756,"BMT-UCB",58.7656505403272
"13",3,711.181174940118,"kNN","GM",0.239986996844671,NA,NA,NA,0.228227017880216,NA,NA,2,0.816531787057695,"kNN-GM",58.7656505403272
"14",3,734.819866780638,"dNN","GM",0.21472520166584,NA,NA,NA,0.177642809834658,NA,16,NA,0.606579542428802,"dNN-GM",58.7656505403272
"15",3,724.439513226797,"Sticky","GM",0.225818301365693,NA,NA,NA,0.995041660094508,NA,NA,NA,3.65653510757021,"Sticky-GM",58.7656505403272
"16",4,415.288566945003,"DF","UCB",0.5561964769856,NA,NA,0.0067397471308573,0.0879966672806545,1.98950993630085,NA,NA,0.218874975032436,"DF-UCB",76.3071197825448
