"","trial","meanReward","meanSE","Model"
"1",0,51.64347532,0.227448615548356,"BMT-UCB"
"2",1,54.0799898,0.234517678887304,"BMT-UCB"
"3",2,55.86738543,0.239055468474118,"BMT-UCB"
"4",3,57.82522725,0.246025084194097,"BMT-UCB"
"5",4,59.75772325,0.248785080984393,"BMT-UCB"
"6",5,61.10263312,0.252440654038884,"BMT-UCB"
"7",6,62.55596679,0.25411340685861,"BMT-UCB"
"8",7,64.16179402,0.253959622169693,"BMT-UCB"
"9",8,65.6702095,0.252835312153734,"BMT-UCB"
"10",9,66.80133805,0.251693513877221,"BMT-UCB"
"11",10,67.75023721,0.251457421819269,"BMT-UCB"
"12",11,69.14040863,0.246980102751143,"BMT-UCB"
"13",12,70.17487294,0.244358410258264,"BMT-UCB"
"14",13,71.16114069,0.24186605282121,"BMT-UCB"
"15",14,71.77372801,0.240964713288797,"BMT-UCB"
"16",15,72.84406341,0.237438164587081,"BMT-UCB"
"17",16,73.53095368,0.232901316305636,"BMT-UCB"
"18",17,74.20238273,0.232298043449684,"BMT-UCB"
"19",18,74.90379008,0.228434713720565,"BMT-UCB"
"20",19,75.39004715,0.225533980225152,"BMT-UCB"
"21",20,75.96694906,0.222834663963801,"BMT-UCB"
"22",21,76.56224619,0.219754191979424,"BMT-UCB"
"23",22,77.04608088,0.216029752403986,"BMT-UCB"
"24",23,77.53112231,0.212687947646684,"BMT-UCB"
"25",24,77.63337015,0.214212378964891,"BMT-UCB"
"26",25,78.34849299,0.208750923279459,"BMT-UCB"
