"","trial","meanReward","meanSE","Model"
"1",0,51.27430588,0.227752189805984,"GP-UCB"
"2",1,56.35073048,0.245170425974349,"GP-UCB"
"3",2,59.01496302,0.249870990761577,"GP-UCB"
"4",3,61.22165592,0.251369341143684,"GP-UCB"
"5",4,63.15886193,0.251486812874974,"GP-UCB"
"6",5,64.40075469,0.253447578368555,"GP-UCB"
"7",6,66.67082667,0.252284578624171,"GP-UCB"
"8",7,67.46720335,0.252337827117788,"GP-UCB"
"9",8,68.93809321,0.251980547888794,"GP-UCB"
"10",9,70.26802352,0.245825018575485,"GP-UCB"
"11",10,71.39868512,0.247012407138049,"GP-UCB"
"12",11,72.02422241,0.246537302917089,"GP-UCB"
"13",12,73.32588084,0.240119524520704,"GP-UCB"
"14",13,73.83736168,0.241982729815841,"GP-UCB"
"15",14,74.96135079,0.239236231003956,"GP-UCB"
"16",15,75.40349782,0.237006356064531,"GP-UCB"
"17",16,75.93583528,0.235175404347219,"GP-UCB"
"18",17,76.62529224,0.23190449099832,"GP-UCB"
"19",18,77.26700704,0.23137053803048,"GP-UCB"
"20",19,77.57963328,0.230879828053593,"GP-UCB"
"21",20,78.20853729,0.227392397746677,"GP-UCB"
"22",21,78.68269662,0.223766472700937,"GP-UCB"
"23",22,78.53981071,0.226203119681182,"GP-UCB"
"24",23,79.37830756,0.221092383500803,"GP-UCB"
"25",24,79.41717025,0.222646574974083,"GP-UCB"
"26",25,79.51469061,0.224810120099521,"GP-UCB"
