"","trial","meanReward","meanSE","Model"
"1",0,51.18582221,0.22396811068272,"dNN"
"2",1,56.3761981,0.227223708461946,"dNN"
"3",2,58.64103752,0.226913595594533,"dNN"
"4",3,60.68032337,0.225677199558683,"dNN"
"5",4,61.80616316,0.226877445933385,"dNN"
"6",5,63.60493043,0.226847405276066,"dNN"
"7",6,64.66341513,0.227886437308055,"dNN"
"8",7,66.22570624,0.225800914891068,"dNN"
"9",8,67.00069748,0.226007450513078,"dNN"
"10",9,67.84256332,0.225879213812152,"dNN"
"11",10,68.7750993,0.222556177767575,"dNN"
"12",11,69.72193804,0.221812942649486,"dNN"
"13",12,70.31026501,0.222378388295693,"dNN"
"14",13,71.15804658,0.218848737757954,"dNN"
"15",14,72.15533835,0.216563664484017,"dNN"
"16",15,72.41834397,0.216981043422483,"dNN"
"17",16,72.83270646,0.218055414313366,"dNN"
"18",17,73.38231397,0.215134887238433,"dNN"
"19",18,73.9667097,0.212782093251048,"dNN"
"20",19,74.52796375,0.211475615354622,"dNN"
"21",20,74.70556212,0.211810436667734,"dNN"
"22",21,75.08534381,0.211243293865354,"dNN"
"23",22,75.56588268,0.208222773640988,"dNN"
"24",23,75.81296061,0.209893678553763,"dNN"
"25",24,75.63394647,0.211116829033995,"dNN"
"26",25,76.31072422,0.210321679329191,"dNN"
