"","trial","meanReward","meanSE","Model"
"1",0,51.24284017,0.226758401286442,"kNN"
"2",1,57.0929831,0.228153014041144,"kNN"
"3",2,58.80498717,0.227916645671242,"kNN"
"4",3,60.61296309,0.226774154102373,"kNN"
"5",4,62.26957888,0.2259517506006,"kNN"
"6",5,63.83383253,0.227980419755895,"kNN"
"7",6,65.15936624,0.225961200587761,"kNN"
"8",7,66.48858666,0.224512719314314,"kNN"
"9",8,67.20218897,0.225450044711779,"kNN"
"10",9,68.21933827,0.224706071958852,"kNN"
"11",10,69.39439312,0.22086343994772,"kNN"
"12",11,69.75638732,0.221323261831861,"kNN"
"13",12,70.36403871,0.221438560723813,"kNN"
"14",13,71.04114285,0.220985028293698,"kNN"
"15",14,71.71726935,0.217762746637374,"kNN"
"16",15,72.52350094,0.217051091208137,"kNN"
"17",16,72.78836198,0.216691346967846,"kNN"
"18",17,73.42571544,0.215846637481516,"kNN"
"19",18,73.54397051,0.21727626302315,"kNN"
"20",19,74.15401918,0.214543890780003,"kNN"
"21",20,74.64976992,0.211995862829798,"kNN"
"22",21,74.75279732,0.210894403231618,"kNN"
"23",22,75.12414366,0.21231121236143,"kNN"
"24",23,75.48027695,0.212391919351132,"kNN"
"25",24,75.95966803,0.208832111579659,"kNN"
"26",25,76.1367312,0.20966507823771,"kNN"
