"participant","loo","errorVariance","beta","tau","omega"
1,1,7.93381154277076,0.0148459096745579,0.00733852633150716,0.00674672553721032
1,2,8.71228675317859,0.012546627213525,0.00697145772976179,0.00692562446774855
1,3,8.17236913892799,0.00702852759275691,0.00806355645406524,0.00680267681948939
1,4,8.84330269608001,0.00803287829422771,0.00706894188920651,0.00691440803962833
1,5,8.47130437247938,0.00735370183133279,0.00742432116166135,0.00675708582909079
1,6,6.41311736369395,0.147102879512186,0.00706084903933855,0.00685655897157133
1,7,8.69495688428852,0.0078625494081598,0.00715450164140966,0.00674757942217598
1,8,8.62905544552926,0.00685623778283906,0.0073416500629737,0.00675081772771118
1,9,8.34617044212776,0.00902765160521215,0.00754176060470104,0.00694440074422343
2,2,6.944373739493,0.165523030556699,0.00741066514393451,0.00679608128796533
2,3,7.09644399274729,0.167851934090373,0.00754320305470359,0.00687384548683215
2,4,6.93665659082202,0.17170890428992,0.00733477435604733,0.00728145022390951
2,5,6.70174156415832,0.20855453243697,0.00691628946106923,0.00694448326277131
2,6,6.93587838210212,0.158340439746867,0.0082800882418962,0.00684952252300431
2,8,6.91932415577092,0.188020596793485,0.00695407500542828,0.00678319970114599
2,9,7.06334474220765,0.180157864263087,0.00726331994452494,0.00678060703647179
2,7,7.11201367499993,0.168796444670252,0.0076003564371282,0.00681661236775025
2,1,7.01577436574379,0.177283828332957,0.00727409603636472,0.00678625659076587
3,3,3.58752316264272,0.00674103784966056,0.129222989325064,0.424454658560756
3,4,3.64774925825977,0.00677975027095751,0.0791388470958651,0.213735057692063
3,5,3.18210227422973,0.00677420018377085,0.137918751815333,0.490692384284675
3,6,3.80213513849514,0.00674775662239415,0.124343145597179,0.423370256989316
3,8,3.70073047954685,0.00674647863650628,0.130225982836999,0.466233425702549
3,9,3.32534185103059,0.00677819326818457,0.132127636710724,0.473437801889096
3,2,3.06113414671844,0.00680295631938918,0.12412628260363,0.41901932312088
3,1,3.25380033032713,0.00674576016317098,0.168718315588995,0.55498874226682
3,7,3.77785004724271,0.00676107011120437,0.108551603258603,0.372317032427832
4,1,8.98952925271719,0.10328885019959,0.0071365133682867,0.00998601100624761
4,2,11.0031394356129,0.00817666480246009,0.00677434144306238,0.009394021983253
4,3,11.0768617309103,0.00735275410753193,0.00674419690238205,0.0116446490388283
4,4,11.2989605684098,0.00686758929383936,0.00679882078707015,0.0109176418367138
4,5,10.8371522947061,0.00745417818453478,0.0068904352228044,0.0106359328402152
4,6,11.2461727487698,0.00762595187108991,0.0068607018166449,0.0117626218383879
4,8,11.4704044715359,0.00736459260174578,0.00675824451630058,0.0114036594372926
4,9,11.0192623104853,0.00704880513442126,0.00686715222714447,0.0111946928185991
4,7,10.638736881296,0.00702924739827344,0.00705428918065379,0.00988994826662181
5,8,9.06562118865237,0.0222308795285229,0.00674778944014739,0.0118194958590992
5,9,8.26502972743204,0.0421278118981697,0.00676583219355951,0.0131641125305967
5,2,8.79643976477788,0.0385717223075093,0.00678475007750973,0.0142936431565344
5,3,8.81611327809385,0.0351262595681699,0.00675442521843059,0.0136239669977037
5,4,9.0353930366479,0.0235812696142056,0.00685228365213661,0.0123073176006995
5,5,8.87769854431702,0.0144274268422027,0.00750598534117186,0.0129656942477474
5,6,8.99555188947423,0.0265662867438722,0.00690744567446402,0.0129799456734773
