"participant","loo","alpha","beta","tau","omega"
1,1,1.38083255192569,0.182177392801271,0.0510070016490954,0.149618864823535
1,2,1.39902416080807,0.171293671814069,0.0534632900731312,0.169029895474818
1,3,3.89699173114146,0.317250598928617,0.0609551552195337,0.211389482963608
1,4,1.3859816337295,0.183316088406939,0.0567202281206181,0.181345368485382
1,5,1.43773988006199,0.178498842529078,0.0548611859320307,0.170350989908335
1,6,0.941221960993232,0.21146219494271,0.052543064670009,0.145499610922081
1,7,1.44077591275848,0.186086129763187,0.0570312882302141,0.179822455585172
1,8,1.46672866395468,0.168093519461698,0.0580148022677302,0.1792995071026
1,9,1.66115156658032,0.234380171450342,0.059138343032016,0.207637852982387
2,1,1.86074660873755,0.187142392406917,0.0539496533554656,0.122849774921169
2,5,2.49417184141209,0.186348749659256,0.0592479612271367,0.13507411403104
2,2,2.4415026256046,0.202284498886842,0.0633377378664011,0.176582358154232
2,3,2.21888675109985,0.207214865116543,0.0583357760504017,0.14913540875132
2,4,2.2883985967442,0.170124465560391,0.0622898326650424,0.154332487923766
2,9,2.27553935159911,0.17214270927301,0.0625027751276557,0.150490057609229
2,6,2.33135334951522,0.178076216577023,0.0614186123796337,0.150461781600183
2,7,2.43697319550669,0.194470357536326,0.0593741087164746,0.150546432438247
2,8,2.26424907887577,0.160440812996417,0.0641338828253946,0.158615047339559
3,1,1.42959972005707,0.00673881815916558,0.328261436346565,1.09026243987311
3,2,1.34461626345593,0.00673856754200887,0.241219493450657,0.829632099819758
3,3,1.32765249980678,0.00673820503279303,0.228943195444058,0.756956802527703
3,4,1.14890220980863,0.00673854955088444,0.189820955591388,0.546617328644504
3,5,1.65620339799289,0.0067490082155423,0.222910042468535,0.797433201589887
3,9,1.4609320241851,0.00673857811960503,0.244045767287196,0.880600604321676
3,6,1.46738541760984,0.00673815757941214,0.248628622882238,0.851893170283384
3,7,1.21198050049525,0.00674064592923486,0.293201229994179,1.0248058532678
3,8,1.32522117174823,0.00673864855447272,0.27055759919694,0.982157584717969
4,1,1.81423369117891,0.0480126863882568,0.0830649521683967,0.177082982310982
4,3,1.99886385918784,0.0067594288918929,0.0900500597970705,0.243941770125067
4,4,1.97848567185121,0.00673807963092907,0.0883670499871613,0.227337452625767
4,5,2.03167972079693,0.0067397471308573,0.0879966672806545,0.218874975032436
4,2,2.05491402359789,0.00673892749076768,0.0867985128018316,0.208106410406227
4,6,1.98250061379059,0.0067407951810339,0.0890976462668061,0.238778904921528
4,7,2.08586264785699,0.00673828334104768,0.066176862713622,0.143884551047447
4,8,1.98950993630085,0.00673868752417307,0.0886152585593614,0.226197055289192
4,9,1.89605761337645,0.00674411123472641,0.0841971431970761,0.213699788596861
5,1,1.39949544837442,0.490970036246498,0.0708424972189755,0.382717330658436
5,2,1.40069661592697,0.516272194907769,0.0714752027019328,0.429339823772903
5,3,1.12542762793446,0.448125442610664,0.0619533831887365,0.353650344090553
5,4,1.19600215506803,0.47896754367945,0.0733999125860825,0.421068471348919
5,5,1.64769174901828,0.574919356351282,0.0748789590539812,0.469870803590468
5,9,1.26610365989923,0.460403227647476,0.0676814977705914,0.386013111381115
5,8,1.36686339665666,0.467973775820514,0.0759007201095561,0.409349251153575
5,6,1.37582463098056,0.480658815792721,0.0734334406885086,0.412798150718669
5,7,1.52456635653631,0.436397086536173,0.0752260468618186,0.393844073297531
6,9,0.0183326071539086,0.00701191868431888,0.0760457771062522,0.337734404900415
6,1,0.0185581545191643,0.0184338399155793,0.0661543990700297,0.316618613120832
6,2,0.0183245709948006,0.00675709505916085,0.0544165034817907,0.272326082049704
6,3,0.0186072835236488,0.00761039663591701,0.0688446976909599,0.316509288899741
6,4,0.0183699404146374,0.00679659678740501,0.0695592927095695,0.326841764758106
6,5,0.0183920162267343,0.00684546360717028,0.0699913975866793,0.328039860026952
6,6,3.57584914508478,0.135928788050712,0.0682408263320466,0.359066752826936
6,7,0.271266199468211,0.192471246871831,0.0502478898324052,0.314272899093928
6,8,0.0190243778235246,0.00681979974604231,0.0762421430496094,0.355074591439406
7,1,0.0883524698727056,0.33609932106842,0.0220088677990619,0.0350816993237544
7,9,0.570718548659822,0.222137482571878,0.0564241998066993,0.131761080691348
7,2,0.571458516641592,0.198292243326794,0.064050248512792,0.156852524505849
7,3,0.755747770401179,0.160916297335757,0.0652185662189202,0.145071537554218
7,4,0.677940275021003,0.165625515106016,0.0657804432482798,0.14755066467627
7,5,0.657494256123255,0.183001850270365,0.0617521726634519,0.138289119658214
7,6,0.540725755486059,0.187385916303228,0.0580841619686079,0.116275944915872
7,7,1.1382018861546,0.1824837141968,0.0654410622190339,0.13370304103234
7,8,0.576276737752698,0.207800264367834,0.0624077338953931,0.147563238438786
8,1,1.59033558255454,0.125726023687391,0.0400643661445897,0.147804090385728
8,2,1.53797022983188,0.146841502855177,0.0379767949791291,0.147764878948501
8,3,1.819006897995,0.136369730264199,0.0466367026639545,0.187027405407142
8,4,1.50636549549363,0.117442272705249,0.0442060733420222,0.16101686051733
