"participant","loo","d","tau","omega"
1,1,1,0.0679898518677075,0.186728585711723
1,2,1,0.0637970441948134,0.172608608474725
1,3,1,0.0752060552692812,0.217458769667897
1,4,1,0.0720918470617604,0.204429118711806
1,5,1,0.0687117145970242,0.188547827907809
1,6,1,0.0725282569667002,0.190048690050344
1,7,1,0.069686137306933,0.187134072931073
1,8,1,0.0688353606329664,0.187811257656938
1,9,1,0.0775057145229454,0.226550234558319
2,1,1,0.0689118613522545,0.15670231460728
2,2,1,0.0737252264894264,0.184332181876615
2,3,1,0.0679421965990217,0.153692714181204
2,4,1,0.0695785201561731,0.153567148539563
2,5,1,0.0699306432949207,0.15101094711853
2,6,1,0.06818410572084,0.147401080520303
2,7,1,0.0670117053374863,0.15327637397746
2,8,1,0.0715318233828779,0.166031750123494
2,9,1,0.0673594168812614,0.145765452065513
3,1,16,0.175009000659023,0.556414253315612
3,2,20,0.144374543898613,0.478059731550254
3,3,1,0.191677457695791,0.615609356211007
3,4,1,0.184091463067829,0.5269620159533
3,5,19,0.141248441914448,0.503794483982455
3,6,16,0.177642809834658,0.609220858361933
3,7,16,0.174002420288,0.606579542428802
3,8,14,0.181484000022842,0.657879964706144
3,9,1,0.230489335034093,0.826170274534948
4,5,1,0.0774132846559564,0.18213274412808
4,1,1,0.0771528012200065,0.15271153201806
4,3,1,0.0860258287920312,0.228793510246953
4,4,1,0.0788374870926091,0.193583663464577
4,2,1,0.0759497196187892,0.168268286050119
4,6,1,0.0782336166084656,0.198331856370598
4,7,1,0.0617344453984504,0.130822403579027
4,8,1,0.0810328830863422,0.197633567943217
4,9,1,0.0763788053085278,0.186410466955585
5,1,0,0.0852236579001659,0.223779697464647
5,2,0,0.0853825744824356,0.255256580218626
5,3,0,0.085065832139366,0.243414086798831
5,4,19,0.0740272997715197,0.209911956512161
5,8,0,0.0894309429606834,0.254130267857956
5,9,0,0.0805816308597807,0.226024201101021
5,5,19,0.0750956245657382,0.222107063313424
5,6,20,0.078527171223079,0.198276331525592
5,7,20,0.0771076849179955,0.227462470433969
6,1,20,0.0650529630634837,0.24948136887391
6,2,0,0.0543097379823127,0.265852057010911
6,3,20,0.0615588031278567,0.225660516960136
6,4,20,0.064976182744488,0.253368516410562
6,8,20,0.0660415671829121,0.25411360745538
6,5,20,0.0649906760952062,0.254500823683421
6,6,10,0.0652497697006098,0.303779136535995
6,7,0,0.0611010012797339,0.230876162936931
6,9,20,0.0623048819803182,0.213728892099887
7,2,1,0.0853185275238947,0.182823563538107
7,3,1,0.0733976014675725,0.143316678134774
7,4,1,0.0809563180322426,0.167633505596229
7,1,1,0.0891905021165896,0.178198224391061
7,6,1,0.0785148828708052,0.145536055486381
7,7,1,0.0770862808742626,0.135530257907202
7,8,1,0.0850272670051638,0.176584651416321
7,5,1,0.0804102797794956,0.161856552609716
7,9,1,0.0804547382410831,0.160343864451886
8,1,2,0.0489696304461067,0.180997334616471
8,2,2,0.0550088301494069,0.209085851288344
8,3,1,0.0648122079608866,0.243660530615408
8,4,2,0.0587652910443288,0.217254965613885
8,5,2,0.0585270422311851,0.222944523083831
8,6,1,0.0628702489517504,0.21188239104322
8,7,2,0.0588879127292059,0.220741270195345
8,8,1,0.0597693961783734,0.216142256056715
8,9,2,0.0576901085312891,0.214024122060108
9,1,1,0.0744076450662164,0.169817842115334
9,2,1,0.0776272902981593,0.175375141630357
9,3,1,0.0749035791669804,0.149859941680409
9,4,1,0.0689778772242887,0.129663952001743
9,5,1,0.0787629874136089,0.170582730668194
9,6,1,0.0819173611802319,0.184709780517974
9,7,1,0.0786884693603764,0.174150080568132
9,8,1,0.0812626751705838,0.194433655746152
9,9,1,0.0769698605797182,0.162070820819958
10,1,1,0.080657804762966,0.198078443713654
10,2,1,0.0800119150477167,0.203932130703231
10,3,1,0.0806324831119221,0.205641817538927
10,4,1,0.0822691023986382,0.229125520781438
10,5,1,0.0820802087528075,0.212454926036056
10,6,1,0.0629352864507413,0.152534778540386
10,7,1,0.0843634999263972,0.223814161671596
10,8,1,0.0791018242392667,0.222786431916466
10,9,0,0.0739381399718234,0.138619653611382
11,1,1,0.0587257258243115,0.161545333727819
11,2,1,0.0525576486364596,0.13063368039553
11,3,1,0.0563479975279895,0.141804325713077
11,4,1,0.0569128569309021,0.153410343002075
11,5,1,0.0565579840886308,0.1488934844158
11,6,1,0.0488617249620466,0.122371947570165
11,7,1,0.0557294371303978,0.14107433191461
11,8,1,0.0568255232712578,0.150292093593465
11,9,1,0.0563488658920237,0.152920213093508
12,1,1,0.0736001896573775,0.171699131354469
12,2,1,0.0788339791663546,0.197499266921975
12,3,1,0.0677135433510646,0.159254014332324
12,4,1,0.0817506903518658,0.22201255437968
12,5,1,0.0742564219269827,0.196703659936534
12,6,1,0.0719229011143574,0.153149709132554
12,7,1,0.0744099748776427,0.182946278324124
12,8,1,0.0715474129917053,0.172060194107957
12,9,1,0.0768108676475141,0.1874547861451
13,2,3,0.109588718157259,0.342105352078284
13,3,3,0.10649298227618,0.326763623410917
13,4,0,0.0936976543477661,0.222292009687252
13,1,3,0.109067466496319,0.350530675399486
13,5,3,0.105970031203421,0.310213825768499
13,6,3,0.106669605497244,0.332208575813178
13,7,3,0.10918669192788,0.33807451074669
13,8,3,0.087474181962644,0.256779158057925
13,9,1,0.105837937232305,0.31370698885966
14,1,1,0.0826702340254499,0.237978300327152
14,2,1,0.0806295738377089,0.225940553605037
14,3,1,0.0893363852909255,0.255910858938854
14,4,1,0.0900143620281162,0.258035996190081
14,7,0,0.0857457714642323,0.209262909649479
14,8,1,0.0879893691455585,0.24661647170476
14,5,1,0.08928048195596,0.24149482738128
14,6,1,0.0927887476986662,0.261586989091395
14,9,1,0.0878772819461618,0.256974262149204
15,1,1,0.0881824163409857,0.182567402116401
