"participant","loo","k","tau","omega"
1,1,1,0.0679897428408881,0.186728081381724
1,2,2,0.0601982372691075,0.161140066451938
1,3,2,0.0719094861514627,0.209904214917329
1,4,2,0.0692986877396512,0.198408409244285
1,5,2,0.066241520629257,0.184034878861197
1,6,2,0.0717334826794837,0.193290293949484
1,7,2,0.0675792466548112,0.184133842420588
1,8,2,0.066364294175519,0.183449327406212
1,9,2,0.0742313306635619,0.216597855055076
2,1,2,0.067214446852417,0.153867313545955
2,2,2,0.0717358943785962,0.179102923959568
2,3,2,0.0663423739864671,0.150951752196202
2,4,2,0.0682946719694986,0.151839729226123
2,5,2,0.068313169721707,0.147915538697748
2,6,2,0.0665675585792411,0.144697273704852
2,7,1,0.0670117627795121,0.153276691852044
2,8,2,0.0692487437691811,0.161228640700113
2,9,2,0.0655270090097852,0.142278923360914
3,4,2,0.180785197577354,0.515744339961324
3,1,2,0.296161873212824,0.975100350525333
3,2,2,0.25394541770049,0.874897220320716
3,3,2,0.187592864421973,0.600871789928822
3,5,2,0.203066882172288,0.715783517519577
3,9,2,0.228227017880216,0.816531787057695
3,6,2,0.223966240495754,0.75557776836513
3,7,2,0.28223843857947,0.982924009511473
3,8,2,0.24140480083767,0.865939516343455
4,4,2,0.0787935171921602,0.193640639053346
4,1,1,0.0771527738558186,0.152711847222554
4,2,1,0.0759497375934512,0.168268177176955
4,3,4,0.0858869980306175,0.24212880535655
4,5,1,0.0774133061854548,0.182132922118855
4,6,1,0.0782332246248805,0.19833165010956
4,7,1,0.0617344839632639,0.130821958448116
4,8,1,0.0810329204718756,0.19763334322451
4,9,1,0.0763789391003017,0.186409585038249
5,4,0,0.0906009644118506,0.267074212352103
5,1,0,0.08523455737635,0.224008214755752
5,2,0,0.0853867176852792,0.255293629755063
5,3,0,0.0849790143668459,0.242978019484419
5,5,0,0.0907098555273152,0.28430456071209
5,6,0,0.0884753030608123,0.260719516691832
5,7,0,0.0899076632210515,0.271059127767966
5,8,0,0.0890921121276261,0.252202676876278
5,9,0,0.0806046343617044,0.226045373240196
6,1,0,0.0671451840929897,0.305270937754004
6,2,0,0.0542511326098885,0.265422599530306
6,3,0,0.0681400019715726,0.306406040410023
6,4,0,0.0692571174220673,0.317452231691745
6,8,0,0.0747329909959027,0.340515716097082
6,5,0,0.0709784709640435,0.327499506676422
6,6,8,0.0634700606893245,0.305468321517178
6,7,0,0.0607809018237401,0.228260280026097
6,9,0,0.0760560194332994,0.333143584732701
7,1,1,0.0891905659494221,0.178198718294521
7,2,1,0.0853186651360528,0.182823774812936
7,3,1,0.0733977862231178,0.143316648467873
7,4,1,0.0809562884961128,0.16763331135422
7,5,1,0.0804102743562396,0.161856605102373
7,6,1,0.078514881026478,0.1455361630252
7,7,1,0.0770861730730324,0.135529819693735
7,8,1,0.0850274201242066,0.176585383972306
7,9,1,0.0804546532359267,0.16034318979345
8,1,3,0.0453708115272755,0.154298404641391
