"","trial","meanReward","meanSE","Model"
"1",0,51.12842874,0.2227428037589,"Random"
"2",1,51.10025447,0.224277571123086,"Random"
"3",2,50.91210642,0.225666264279518,"Random"
"4",3,51.37118287,0.226185940763583,"Random"
"5",4,51.33231451,0.225687013103595,"Random"
"6",5,51.68736046,0.224729882399014,"Random"
"7",6,51.55127738,0.227048174421947,"Random"
"8",7,51.29390388,0.225624561514645,"Random"
"9",8,51.22427284,0.226252701475816,"Random"
"10",9,51.08176841,0.22698200175133,"Random"
"11",10,51.61744749,0.225284515253145,"Random"
"12",11,51.48545097,0.22563975726524,"Random"
"13",12,51.45883233,0.224844507996251,"Random"
"14",13,51.7202793,0.22561170548975,"Random"
"15",14,51.3804432,0.225177024028797,"Random"
"16",15,50.94419954,0.224813977632574,"Random"
"17",16,51.52963628,0.226359652460265,"Random"
"18",17,51.22682071,0.224317016434496,"Random"
"19",18,51.61663248,0.226717115584744,"Random"
"20",19,51.38567965,0.227563092802489,"Random"
"21",20,51.28960576,0.225573116951474,"Random"
"22",21,51.71377456,0.227331703687158,"Random"
"23",22,51.29478705,0.223123806946682,"Random"
"24",23,51.22907112,0.224435844251506,"Random"
"25",24,51.38129812,0.224977025964972,"Random"
"26",25,51.06633403,0.223208542775075,"Random"
