id,experimentData,task_start,task_end,reward,age,gender,processDescription
1,NULL,23.10.18 20:29,NULL,0,NULL,NULL,NULL
2,"{""graphOrder"":[10,30,11,22,2,17,19,23,12,7,4,3,6,33,25,14,36,0,39,26,38,24,27,18,15,16,9,13,20,21,37,29,28,32,1,5,35,34,31,8],""observationNum"":[7,5,7,3,3,3,7,7,5,7,3,7,3,3,7,5,3,7,7,3,5,5,5,5,5,7,3,5,3,5],""observedNodes"":[[1,9,8,3,2,5,7],[7,4,9,2,5],[5,1,4,8,2,7,6],[1,2,6],[4,3,8],[3,4,9],[4,6,9,2,8,3,5],[8,9,6,4,1,7,5],[2,4,7,8,3],[6,2,7,5,3,4,9],[8,4,7],[1,2,5,7,4,8,3],[7,9,5],[5,8,2],[1,3,5,9,8,6,4],[1,2,5,8,3],[4,1,3],[6,5,2,4,9,3,8],[7,3,8,5,2,4,9],[1,4,5],[7,9,3,1,8],[2,1,9,3,7],[3,6,9,7,5],[3,4,6,5,8],[9,3,4,5,8],[9,5,1,6,2,3,8],[6,2,7],[6,8,5,4,7],[4,8,3],[1,9,3,6,4]],""targetNodes"":[4,8,3,7,5,5,1,3,6,1,3,9,4,4,2,4,8,7,6,3,4,8,8,1,1,7,4,9,1,2],""trueTargetValue"":[9,48,5,40,30,40,15,21,7,6,43,33,38,12,46,17,46,46,28,48,43,24,31,47,22,13,50,41,10,1],""predictions"":[30,32,9,27,36,27,3,21,22,14,18,40,26,18,31,20,11,34,40,32,43,46,38,28,17,30,30,45,19,18],""minList"":[2,5,1,5,3,2,5,2,3,1,3,5,5,3,3,2,1,1,5,3,5,4,4,2,5,5,3,4,2,4,3,2,4,3,3,3,5,5,2,1],""maxList"":[50,47,48,48,48,47,46,49,47,46,49,48,48,50,47,50,45,49,48,50,49,47,47,48,46,47,49,46,46,48,47,46,50,47,50,47,50,45,48,45],""confidenceJudgments"":[10,8,9,7,8,7,8,7,7,8,7,7,7,7,7,9,8,8,8,3,7,7,8,7,7,7,4,8,7,5],""errorArray"":[21,16,4,13,6,13,12,0,15,8,25,7,12,6,15,3,35,12,12,16,0,22,7,19,5,17,20,4,9,17]}",23.10.18 20:40,23.10.18 20:45,1.55,41,Male,I tried to estimate based on the known number of passengers at other close nodes.
3,"{""graphOrder"":[11,18,37,25,30,16,14,1,32,36,33,4,22,0,7,3,26,17,13,12,8,19,10,20,5,35,34,24,27,23,39,9,28,29,31,21,15,6,38,2],""observationNum"":[5,5,7,7,7,3,7,5,5,5,5,3,3,3,7,3,5,3,7,5,3,3,3,7,5,3,7,7,5,7],""observedNodes"":[[8,9,6,4,3],[2,6,3,5,9],[9,7,1,8,5,4,6],[1,5,8,3,6,2,4],[5,8,1,3,9,7,6],[6,9,4],[5,1,2,8,3,4,6],[5,7,6,2,3],[6,9,2,7,8],[7,6,9,8,4],[8,9,2,6,3],[5,4,9],[9,8,3],[3,7,6],[9,8,3,1,7,5,4],[1,4,5],[6,8,9,2,4],[9,1,6],[3,1,8,9,6,4,5],[5,7,6,1,8],[6,5,7],[9,7,2],[3,4,9],[8,9,3,6,1,5,4],[8,6,4,5,2],[7,1,2],[5,4,3,8,6,1,9],[8,2,4,3,6,1,9],[1,2,3,4,9],[4,7,3,8,2,5,1]],""targetNodes"":[2,7,3,9,2,1,7,8,1,1,1,2,5,1,2,7,7,2,2,9,4,5,1,2,3,6,2,7,6,6],""trueTargetValue"":[28,3,17,4,24,3,9,22,25,13,22,28,35,42,36,6,33,45,4,7,19,36,47,7,2,43,49,49,41,5],""predictions"":[27,10,24,8,28,21,2,23,11,7,20,20,23,8,39,7,30,25,13,5,22,17,36,13,15,22,39,33,50,5],""minList"":[5,4,3,3,4,2,1,3,5,5,2,3,4,4,3,3,2,1,3,5,2,5,2,3,2,2,1,3,2,4,4,5,2,1,2,4,2,4,4,5],""maxList"":[48,50,47,46,47,45,48,48,45,49,48,50,45,50,50,49,49,46,47,50,50,46,49,49,46,47,45,45,46,47,48,50,47,46,48,48,49,49,50,45],""confidenceJudgments"":[8,5,7,9,8,7,10,8,5,8,4,5,7,4,7,4,5,5,5,4,5,4,3,5,7,3,9,7,4,3],""errorArray"":[1,7,7,4,4,18,7,1,14,6,2,8,12,34,3,1,3,20,9,2,3,19,11,6,13,21,10,16,9,0]}",23.10.18 21:06,23.10.18 21:15,1.98,28,Male,Comparison to the nodes connected to the node I was making predictions for.
4,"{""graphOrder"":[3,32,21,38,30,29,37,39,8,11,15,18,24,9,25,31,13,1,10,27,4,20,5,0,17,35,16,34,22,23,12,28,7,14,26,6,36,19,33,2],""observationNum"":[3,5,3,3,5,7,5,7,5,3,3,3,7,7,7,3,7,5,5,5,3,3,5,3,7,5,7,7,5,7],""observedNodes"":[[3,4,9],[1,3,4,9,2],[6,3,4],[3,6,1],[6,8,7,5,1],[5,3,7,4,8,2,1],[1,4,2,9,8],[6,3,4,2,8,9,1],[6,2,9,3,1],[9,3,8],[6,9,7],[1,5,7],[9,2,3,1,8,5,7],[3,5,6,7,1,2,9],[7,2,4,8,5,3,1],[1,8,9],[6,7,2,4,8,9,3],[7,8,6,3,2],[5,2,8,7,6],[8,6,1,2,4],[1,7,4],[7,1,2],[2,9,4,8,5],[1,4,6],[4,8,3,9,7,2,1],[5,8,1,9,6],[3,5,8,1,7,2,9],[3,7,6,1,4,9,8],[7,5,9,3,4],[5,3,9,8,6,4,1]],""targetNodes"":[7,6,9,7,2,6,7,5,4,2,5,8,4,4,9,7,1,5,9,9,3,4,3,3,5,3,6,5,1,2],""trueTargetValue"":[28,12,33,9,46,28,46,22,50,5,24,12,30,40,9,7,49,49,2,6,10,47,32,46,42,1,7,29,35,32],""predictions"":[37,15,42,18,28,3,37,29,15,8,43,22,30,30,16,5,43,42,4,9,5,41,33,44,41,2,14,28,19,34],""minList"":[1,3,2,4,2,4,3,5,3,2,2,3,4,1,1,5,1,5,1,2,3,5,3,4,4,2,3,1,2,3,4,5,5,1,5,1,1,3,4,5],""maxList"":[48,49,50,45,50,50,47,50,50,49,49,49,47,45,46,50,46,45,50,50,50,47,50,46,47,48,49,49,46,49,48,50,49,50,49,45,48,50,47,45],""confidenceJudgments"":[9,10,7,2,7,11,7,5,4,7,7,4,8,5,7,2,8,8,3,6,9,3,9,4,9,3,7,10,4,10],""errorArray"":[9,3,9,9,18,25,9,7,35,3,19,10,0,10,7,2,6,7,2,3,5,6,1,2,1,1,7,1,16,2]}",24.10.18 00:20,24.10.18 00:28,2.08,27,Male,Tried weighting the entire graph as well as the adjacent nodes if it gave information and tried averaging.
5,"{""graphOrder"":[8,29,26,3,1,0,17,18,22,21,15,16,33,7,19,36,31,35,39,5,4,25,28,27,9,6,12,2,32,37,30,14,20,24,23,34,13,38,10,11],""observationNum"":[7,5,3,7,5,5,7,5,5,3,7,3,7,3,7,5,5,3,3,3,5,7,7,3,7,3,5,7,5,3],""observedNodes"":[[2,7,1,8,5,6,9],[7,1,9,8,6],[1,6,7],[1,8,9,4,7,5,3],[8,6,5,9,7],[9,3,8,1,2],[2,1,4,9,5,8,7],[8,5,1,6,4],[1,8,6,4,3],[3,2,6],[1,5,8,9,6,7,3],[2,3,7],[4,9,1,7,8,2,5],[3,4,5],[4,3,5,2,7,1,6],[6,2,5,4,3],[9,5,6,7,1],[8,4,1],[8,3,4],[9,5,7],[3,8,4,2,9],[4,3,9,7,8,6,1],[6,5,4,1,2,3,9],[3,7,9],[3,5,9,2,1,8,4],[4,5,1],[8,5,4,2,7],[2,6,3,4,9,8,7],[6,7,5,9,8],[5,3,6]],""targetNodes"":[3,4,4,6,3,5,3,9,5,7,2,1,6,8,9,9,8,3,6,2,1,5,8,4,7,9,1,1,1,4],""trueTargetValue"":[22,15,33,34,18,5,4,1,11,15,37,48,42,30,19,18,44,47,15,45,4,39,9,26,47,45,26,3,40,4],""predictions"":[47,8,35,40,11,10,30,7,8,25,39,35,36,18,46,5,41,4,10,26,6,40,8,20,50,24,39,41,47,6],""minList"":[4,1,4,1,2,4,3,3,3,2,3,3,1,1,2,4,4,1,3,4,4,4,5,2,1,5,5,2,4,2,4,3,1,4,4,4,1,3,1,4],""maxList"":[45,50,50,45,48,46,48,46,47,50,46,48,46,50,48,46,47,47,50,50,48,49,49,50,47,49,50,47,45,47,48,48,47,48,47,49,50,49,48,46],""confidenceJudgments"":[10,10,10,11,9,10,9,10,10,4,10,10,10,9,10,10,11,1,10,9,10,11,2,10,11,2,9,10,11,2],""errorArray"":[25,7,2,6,7,5,26,6,3,10,2,13,6,12,27,13,3,43,5,19,2,1,1,6,3,21,13,38,7,2]}",24.10.18 00:24,24.10.18 00:31,1.78,40,Male,I paid attention to the stations around the target.
6,"{""graphOrder"":[18,10,9,30,1,26,31,22,3,16,21,13,2,39,29,19,32,25,0,4,6,7,11,38,27,35,34,12,37,33,23,5,14,28,36,15,8,17,20,24],""observationNum"":[3,3,3,3,5,5,3,3,7,7,7,7,5,7,5,3,5,3,5,5,5,7,7,7,3,5,3,7,5,7],""observedNodes"":[[3,6,2],[3,2,8],[3,1,2],[7,9,8],[5,8,4,6,2],[2,4,5,9,8],[4,3,8],[5,2,9],[2,4,8,1,9,3,6],[8,1,5,6,3,9,2],[9,5,4,1,7,8,6],[8,2,7,9,5,1,6],[2,4,3,5,7],[8,3,2,4,6,5,1],[6,5,3,9,1],[7,9,5],[3,8,9,7,2],[8,4,1],[1,7,2,3,4],[8,3,1,2,7],[2,3,9,7,4],[3,2,7,1,8,6,5],[5,2,6,1,8,4,3],[8,7,2,1,3,5,6],[5,2,3],[8,7,5,3,1],[1,5,8],[4,7,8,2,1,6,9],[7,1,5,9,8],[1,2,4,6,9,3,8]],""targetNodes"":[8,1,4,4,3,1,9,1,7,7,3,4,8,9,4,2,4,2,5,9,1,9,7,4,9,6,6,5,6,7],""trueTargetValue"":[9,25,22,20,16,36,2,49,23,5,5,11,34,32,40,23,43,14,39,48,39,8,4,42,9,5,19,25,29,33],""predictions"":[17,6,35,9,28,15,11,42,29,17,11,10,20,36,18,37,33,44,32,30,36,7,20,39,38,38,43,28,9,30],""minList"":[2,4,2,1,2,2,1,2,4,1,1,3,5,5,5,4,2,4,4,5,5,3,1,4,4,2,2,3,1,3,5,3,4,2,5,3,4,2,3,4],""maxList"":[50,48,46,46,47,47,49,45,45,49,50,47,47,49,48,48,50,50,48,50,48,45,50,48,50,47,49,45,46,48,47,50,49,45,46,49,50,45,46,46],""confidenceJudgments"":[7,8,8,3,4,3,7,4,7,7,8,7,7,7,4,7,9,4,3,3,4,5,5,5,3,3,4,8,3,7],""errorArray"":[8,19,13,11,12,21,9,7,6,12,6,1,14,4,22,14,10,30,7,18,3,1,16,3,29,33,24,3,20,3]}",24.10.18 02:46,24.10.18 02:53,1.67,31,Male,use similar number nearby along with deepness of color
7,"{""graphOrder"":[14,30,36,7,39,18,9,37,2,22,32,24,12,34,21,31,20,26,6,33,38,25,10,13,5,27,16,4,1,8,29,28,17,0,11,15,19,23,35,3],""observationNum"":[5,3,3,7,7,3,5,7,3,3,7,5,5,7,3,5,3,5,3,5,7,3,7,5,7,3,7,7,5,5],""observedNodes"":[[5,7,2,1,9],[1,6,3],[4,7,9],[6,5,9,2,4,1,8],[3,4,5,1,2,9,6],[5,2,9],[9,3,5,1,7],[1,5,3,2,8,9,4],[3,4,5],[6,7,8],[2,7,5,6,3,8,9],[1,8,3,9,7],[2,9,6,1,7],[5,6,3,1,9,2,8],[6,3,1],[7,3,4,9,6],[2,7,1],[9,2,6,8,4],[1,3,9],[5,8,4,2,7],[1,9,7,2,4,3,5],[3,8,1],[7,5,1,9,2,6,8],[6,4,5,9,3],[9,3,5,2,4,8,7],[7,9,4],[2,1,4,5,8,3,6],[8,2,1,4,6,7,9],[8,9,5,3,2],[1,7,6,9,3]],""targetNodes"":[3,8,6,7,7,8,6,7,2,4,1,4,5,4,2,2,9,1,2,3,6,9,4,7,6,6,9,5,7,5],""trueTargetValue"":[16,33,39,34,11,11,29,9,4,35,3,41,34,35,36,6,1,48,13,5,10,44,38,23,44,6,7,13,5,32],""predictions"":[6,20,35,40,7,20,40,1,15,25,10,41,25,32,40,15,17,45,16,15,12,40,35,34,40,20,6,12,5,42],""minList"":[4,2,3,1,3,2,3,5,5,5,1,2,5,1,1,4,3,2,3,3,3,3,3,1,4,3,1,1,5,4,3,4,5,4,1,3,2,2,1,5],""maxList"":[46,47,46,46,50,47,50,49,45,47,49,45,48,46,48,46,46,50,49,48,50,50,47,50,45,50,45,48,49,49,46,48,47,48,50,50,47,49,46,45],""confidenceJudgments"":[11,11,9,11,9,8,11,11,11,11,11,11,8,10,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11],""errorArray"":[10,13,4,6,4,9,11,8,11,10,7,0,9,3,4,9,16,3,3,10,2,4,3,11,4,14,1,1,0,10]}",26.10.18 23:31,26.10.18 23:41,2.2,20,Male,Determining the main sources of the passengers then using the decreasing passenger values to determine the end of the line.
8,"{""graphOrder"":[38,9,27,7,13,15,25,14,31,10,32,11,18,6,8,36,3,23,1,21,37,24,22,28,16,35,33,26,2,17,20,4,5,19,0,39,34,30,29,12],""observationNum"":[3,7,7,5,7,3,5,5,5,7,3,5,3,3,3,5,7,7,5,3,7,3,5,7,7,5,3,5,3,7],""observedNodes"":[[1,9,6],[2,3,7,4,1,6,8],[5,7,4,3,9,6,8],[5,8,7,6,3],[5,9,7,8,2,1,3],[9,4,1],[3,2,9,7,5],[7,5,3,8,1],[2,4,6,3,9],[6,4,8,3,2,5,1],[3,7,9],[9,3,4,6,8],[9,2,7],[1,8,3],[4,9,8],[9,7,5,1,2],[5,2,3,4,1,7,6],[4,9,5,2,7,3,1],[7,4,3,9,1],[9,6,5],[4,5,8,3,1,7,9],[8,4,9],[3,8,5,1,4],[5,1,3,8,9,2,4],[2,4,5,9,1,3,7],[1,6,8,2,3],[5,3,7],[8,5,9,6,1],[6,5,7],[2,5,3,7,4,6,8]],""targetNodes"":[2,5,1,2,4,7,8,6,5,9,2,7,5,7,7,4,9,8,6,1,2,3,6,6,8,7,2,7,4,9],""trueTargetValue"":[5,28,4,5,37,5,50,17,22,3,46,33,22,5,20,46,48,46,5,37,46,38,2,15,8,19,11,21,9,47],""predictions"":[19,34,13,5,25,6,45,10,20,6,36,28,21,25,13,29,45,45,5,26,38,26,28,17,11,17,7,31,15,34],""minList"":[2,3,4,3,3,1,4,2,4,4,3,3,4,4,5,5,2,5,4,3,1,3,4,5,4,3,2,5,5,3,3,5,2,2,5,5,3,4,5,1],""maxList"":[50,45,45,49,46,46,46,47,48,45,49,45,47,50,49,47,50,48,47,49,48,47,46,47,48,46,48,48,45,45,46,49,47,49,49,50,48,49,49,47],""confidenceJudgments"":[8,9,6,9,6,4,8,7,7,10,7,11,7,8,8,10,8,11,11,8,11,2,4,10,9,8,9,8,8,10],""errorArray"":[14,6,9,0,12,1,5,7,2,3,10,5,1,20,7,17,3,1,0,11,8,12,26,2,3,2,4,10,6,13]}",26.10.18 23:32,26.10.18 23:50,2.19,52,Male,"I just figured the value would be close to its neighbors, if that data was available. Sometimes I figured it was on the opposite side of the spectrum (i.e. higher or lower) than it actually was."
9,"{""graphOrder"":[20,6,33,5,32,19,13,31,9,17,29,15,16,38,10,12,4,18,11,21,22,37,23,7,24,0,1,14,36,25,2,27,34,28,39,3,26,8,30,35],""observationNum"":[5,5,7,5,5,3,5,7,5,3,7,7,3,3,3,3,7,7,3,7,7,3,5,5,3,7,5,3,5,7],""observedNodes"":[[7,6,3,2,5],[8,9,3,7,6],[4,2,5,3,7,9,8],[8,2,5,4,7],[2,1,4,9,6],[5,8,9],[1,2,8,9,4],[5,6,9,7,8,2,3],[7,4,2,3,1],[9,7,1],[8,4,6,5,1,3,2],[3,4,1,7,5,6,8],[2,8,6],[2,6,9],[7,3,1],[2,7,6],[8,3,9,7,2,4,5],[6,9,8,3,1,5,2],[4,8,1],[1,9,8,5,7,4,3],[5,8,7,6,2,1,3],[1,6,8],[6,4,1,7,9],[4,2,7,3,1],[8,3,2],[2,9,5,8,6,7,3],[6,8,4,9,1],[5,4,7],[9,5,7,8,2],[7,5,9,3,8,6,4]],""targetNodes"":[9,5,1,9,7,3,7,1,5,4,9,9,5,7,4,3,6,7,9,2,4,5,3,9,1,1,5,2,6,2],""trueTargetValue"":[17,2,49,31,2,9,2,4,28,13,1,13,14,2,26,21,7,4,6,46,21,23,3,42,27,5,39,5,39,24],""predictions"":[40,20,35,40,16,9,22,10,24,21,5,17,10,37,18,5,5,32,24,36,13,12,6,21,36,11,24,11,42,29],""minList"":[1,1,4,3,3,3,5,2,3,4,5,1,1,3,2,2,2,4,3,5,1,1,2,2,5,4,2,4,1,2,4,5,3,5,3,5,1,5,4,4],""maxList"":[45,47,47,49,49,49,48,49,45,48,45,46,49,46,46,48,49,49,45,48,47,48,50,47,47,46,48,50,48,46,45,48,47,45,47,46,46,49,49,45],""confidenceJudgments"":[10,9,7,10,7,10,7,11,8,9,11,11,11,7,7,10,8,7,8,11,7,8,11,8,11,11,8,11,11,10],""errorArray"":[23,18,14,9,14,0,20,6,4,8,4,4,4,35,8,16,2,28,18,10,8,11,3,21,9,6,15,6,3,5]}",26.10.18 23:33,26.10.18 23:42,1.77,21,Female,Determine which stations are high traffic and assume that a lot of the passengers at surrounding stations will go there. Look for splits in station where passengers will be broken up and lower the overall number going to my destination. 
10,"{""graphOrder"":[30,5,19,8,4,38,18,16,23,0,33,6,31,32,26,11,12,15,27,24,29,39,28,9,34,20,1,13,7,3,37,10,2,21,36,22,17,25,35,14],""observationNum"":[5,3,5,3,3,7,5,5,5,7,5,5,3,7,3,7,7,7,7,3,5,5,7,3,3,3,7,3,7,5],""observedNodes"":[[6,3,2,8,9],[3,9,7],[5,4,3,2,8],[9,3,5],[1,6,7],[6,8,4,1,2,3,9],[2,1,3,8,4],[7,6,8,3,9],[9,6,7,2,3],[7,2,8,1,3,5,9],[9,4,5,6,8],[3,1,4,5,7],[8,6,1],[7,5,9,3,2,6,8],[7,9,5],[6,4,7,5,3,8,9],[7,3,2,9,5,6,1],[6,2,5,7,9,1,3],[1,3,7,8,4,5,6],[5,8,4],[5,2,1,6,9],[1,6,7,2,8],[9,5,1,6,8,4,2],[9,4,1],[7,8,4],[6,5,4],[2,5,6,7,9,3,4],[3,5,6],[3,7,6,2,5,1,9],[5,2,7,1,8]],""targetNodes"":[1,1,6,4,2,7,7,4,5,6,3,6,5,1,6,2,8,8,2,1,3,3,7,7,9,3,8,7,4,6],""trueTargetValue"":[35,8,25,25,33,18,1,39,23,36,14,6,39,4,46,49,26,29,24,3,45,36,20,14,8,18,24,40,46,45],""predictions"":[29,6,1,12,26,27,5,33,14,43,9,10,45,34,49,43,21,22,22,25,40,32,24,10,7,8,27,20,34,37],""minList"":[3,1,2,2,2,5,3,3,2,4,1,3,4,2,2,5,1,3,5,5,2,4,4,4,5,4,1,4,3,3,2,4,2,4,4,5,4,5,2,3],""maxList"":[47,45,46,47,50,50,48,47,48,45,47,47,46,46,50,49,47,49,47,47,48,49,48,47,46,49,46,45,50,48,49,47,50,50,48,45,47,48,46,48],""confidenceJudgments"":[9,9,11,8,8,8,10,9,7,9,8,8,10,10,10,9,8,8,8,7,8,8,9,8,9,8,9,4,9,7],""errorArray"":[6,2,24,13,7,9,4,6,9,7,5,4,6,30,3,6,5,7,2,22,5,4,4,4,1,10,3,20,12,8]}",26.10.18 23:33,26.10.18 23:37,2.02,35,Female,I tried to look at the closest stations and the position of the selected one.
